Model Yr;Mfr Name;Division;Carline;Trans as listed in FE Guide (derived from col AA thru AF);City Unadj FE - Conventional Fuel;Fuel Usage Desc - Conventional Fuel
2010;BMW;BMW;535i Sport Wagon xDrive;Auto(S6);20,3684;Gasoline (Premium Unleaded Recommended)
2010;Kia;KIA MOTORS CORPORATION;RONDO;Auto(A4);24,7573;Gasoline (Regular Unleaded Recommended)
2010;Kia;KIA MOTORS CORPORATION;RONDO;Auto(A5);22,8;Gasoline (Regular Unleaded Recommended)
2010;Volkswagen;Volkswagen;PASSAT WAGON;Auto(S6);27,1189;Gasoline (Premium Unleaded Recommended)
2010;Volvo;Volvo Cars of North America, LLC;V70 FWD;Auto(S6);21,4;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 2WD;Auto(A4);23,1491;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 2WD;Manual(M5);23,1167;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 2WD;Auto(A4);21,0642;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 2WD;Auto(A4);18,0999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CAB CHASSIS INC 2WD;Auto(A4);18,7999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CREW CAB 2WD;Auto(A4);23,0999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CREW CAB 2WD;Manual(M5);23;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CREW CAB 2WD;Auto(A4);20,7999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CREW CAB 2WD;Auto(A4);18,0999;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Ford Division;RANGER 2WD;Auto(A5);23,6923;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Ford Division;RANGER 2WD;Manual(M5);27,4;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Ford Division;RANGER 2WD;Manual(M5);18,7;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Ford Division;RANGER 2WD;Auto(A5);19,5;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 2WD;Auto(A4);23,1397;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 2WD;Manual(M5);23,1607;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 2WD;Auto(A4);21,094;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 2WD;Auto(A4);18,0999;Gasoline (Regular Unleaded Recommended)
